Name,Protein,Sauce,Cheese,Veggies,Bread,Miscellaneous,Origin,Mood
Bacon Egg and Cheese,"bacon,egg",,american,,roll,hot,breakfast,hungover
BLT,bacon,,,"lettuce,tomato",,hot,american,""i guess""
Bologna,bologna,"mayonnaise,mustard,ketchup",,,white bread,,american,over it
Cheesesteak,steak,,american,,hero,hot,american,very excited
Chicken Salad,chicken salad,,,,,,american,"i guess"
Pulled Pork,pulled pork,"bbq,cole slaw",,,roll,hot,bbq,spicy
Chicken Parm,chicken cutlet,marinara,mozzarella,,hero,hot,italian,spicy 
Banh Mi,roast pork,,,"carrot,cilantro,peppers",baguette,,pan asian,very excited
Churrasco,steak,mayonnaise,,"tomato,avocado",hero,,latin american,very excited
Club,"turkey,bacon",mayonnaise,,"lettuce,tomato",,triple decker,american,"i guess"
Corned Beef,corned beef,mustard,,,rye,,,"i guess"
Cuban,"roast pork,ham",mustard,swiss,pickle,hero,,latin american,very excited
Croque-Monsieur,ham,,swiss,,,hot,french,"i guess"
French Dip,roast beef,au jus,,,baguette,hot,american,very excited
Elvis,bacon,banana,,,white bread,"hot, peanut butter",peanut butter,hungover
Italian Beef,roast beef,,,sweet peppers,long roll,hot,american,very excited
Lobster Roll,lobster,mayonnaise,,,hero,,american,over it
Monte Cristo,ham,,gruyere,,white bread,hot,french,hungover
Eggplant Parm,eggplant,marinara,mozzarella,,hero,hot,italian,spicy
Patty Melt,beef,,swiss,onion,rye,,american,hungover
Oyster Po' Boy,oyster,thousand island,,,po boy,hot,creole,spicy
Surf and Turf Bo' Boy,"shrimp,roast beef",thousand island,,,po boy,hot,creole,"hungover,spicy"
Reuben,corned beef,thousand island,swiss,saurkraut,rye,hot,american,very excited
Tuna Sandwich,tuna salad,mayonnaise,,"tomato,lettuce,onion",wheat bread,,american,over it
Toast Hawaii,ham,,gruyere,"pineapple,cherry",toast,hot,german,"i guess"
Tuna Melt,tuna salad,,cheddar,tomato,wheat bread,hot,american,hungover
