Spread,Family,Qualifier,Bite
mayonnaise,mayonnaise,sauce,no bite
wasabi mayo,mayonnaise,sauce,got bite
chipotle mayo,mayonnaise,sauce,got bite
horseradish mayo,mayonnaise,sauce,got bite
dill mayo,mayonnaise,sauce,no bite
thousand island,dressing,sauce,no bite
russian dressing,dressing,sauce,no bite
ranch,dressing,sauce,no bite
mustard,mustard,sauce,got bite
honey mustard,mustard,sauce,no bite
brown mustard,mustard,sauce,got bite
grey poupon,mustard,sauce,got bite
yellow mustard,mustard,sauce,no bite
frenchs,bullshit,sauce,no bite
chipotle mustard,mustard,sauce,got bite
southwest sauce,,sauce,got bite
sweet onion teriyaki,pan asian,sauce,no bite
teriyaki,pan asian,sauce,no bite
soy sauce,pan asian,sauce,no bite
ketchup,bullshit,sauce,no bite
miracle whip,bullshit,sauce,no bite
strawberry jelly,peanut butter pairing,spread,no bite
raspberry jelly,peanut butter pairing,spread,no bite
nutella,peanut butter pairing,spread,no bite
marshmallow cream,peanut butter pairing,spread,no bite
honey,peanut butter pairing,spread,no bite
grape jelly,peanut butter pairing,spread,no bite
strawberry preserves,peanut butter pairing,spread,got bite
raspberry preserves,peanut butter pairing,spread,got bite
orange marmalade,peanut butter pairing,spread,got bite
blueberry jam,peanut butter pairing,spread,got bite
pepper mayo,mayonnaise,sauce,got bite
buffalo sauce,,sauce,got bite
blue cheese,dressing,sauce,got bite
poppyseed dressing,dressing,sauce,no bite
banana,peanut butter pairing,spread,got bite
hot sauce,hot sauce,sauce,got bite
tabasco,hot sauce,sauce,got bite
cholula,hot sauce,sauce,got bite
jalapeno tabasco,hot sauce,sauce,got bite
hummus,healthy,spread,no bite
babaganoush,healthy,spread,got bite
yogurt dill,healthy,spread,no bite
guacamole,healthy,spread,no bite
spicy guacamole,healthy,spread,got bite
salsa,healthy,spread,got bite
fruit salsa,healthy,spread,no bite
black bean spread,healthy,spread,no bite
sweet potato hummus,healthy,spread,no bite
veggie dip,healthy,spread,no bite
sundried tomato spread,healthy,spread,got bite
cream cheese,healthy,spread,no bite
zataar spread,healthy,spread,got bite
butter,bullshit,spread,no bite
marinara,italian,sauce,no bite
alfredo,italian,sauce,no bite
spicy marinara,italian,sauce,got bite
olive oil,italian,sauce,no bite
bbq sauce,bbq,sauce,got bite
mild bbq sauce,bbq,sauce,no bite
vinegar bbq sauce,bbq,sauce,got bite
coleslaw,bbq,spread,no bite
